Sample Name	Protocol REF	Parameter Value[Type Of Cytometer]	Parameter Value[Flow Solution]	Protocol REF	Parameter Value[Marker Type]	Parameter Value[Molecule Or Structure Labeled]	Protocol REF	Parameter Value[Primary Fluorophore (If Conjugated)]	Parameter Value[Primary Company]	Parameter Value[Primary Duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Primary Temperature]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Original Submitted Files]	Parameter Value[Transformed Files]
73_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
74_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
75_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
78_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
79_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
80_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
81_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
82_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
83_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
84_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
85_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
86_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
87_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
88_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
89_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
91_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
93_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
94_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
95_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
96_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
97_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
98_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
99_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
100_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
101_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
105_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
106_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
107_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
108_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
109_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
110_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
111_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
112_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
113_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
